tt3715320;irrational_man;2015;6.6;0;0;0.00;0;0.00;Comedy;Drama
tt2382396;joe;2013;6.9;0;0;0.00;0;0.00;Drama
tt0055031;judgment_at_nuremberg;1961;8.3;2;9;15.25;0;0.00;Drama;War
tt0467406;juno;2007;7.5;1;3;8.00;1;3.00;Comedy;Drama
tt1617661;jupiter_ascending;2015;5.4;0;0;0.00;0;0.00;Action;Adventure;Sci-Fi
tt1821480;kahaani;2012;8.2;0;0;0.00;0;0.00;Drama;Mystery;Thriller
tt1250777;kick_ass;2010;7.7;0;0;0.00;0;0.00;Action;Comedy
tt0378194;kill_bill_vol_2;2004;8.0;0;0;0.00;0;0.00;Action;Crime;Drama
tt0107322;king_of_the_hill;1993;7.6;0;0;0.00;0;0.00;Drama;History
tt0056291;knife_in_the_water;1962;7.6;0;1;1.00;0;0.00;Drama;Thriller
tt0079417;kramer_vs_kramer;1979;7.8;5;4;23.25;0;0.00;Drama
tt0119488;l_a_confidential;1997;8.3;2;7;12.00;0;0.00;Crime;Drama;Mystery
tt0053619;l_avventura;1960;8.0;0;0;0.00;0;0.00;Drama;Mystery
tt0028950;la_grande_illusion;1937;8.1;0;1;1.25;0;0.00;Drama;War
tt0113247;la_haine;1995;8.1;0;0;0.00;0;0.00;Crime;Drama
tt3783958;la_la_land;2016;8.8;0;0;0.00;0;0.00;Comedy;Drama;Musical
tt0091369;labyrinth;1986;7.4;0;0;0.00;0;0.00;Adventure;Family;Fantasy
tt0169102;lagaan_once_upon_a_time_in_india;2001;8.2;0;1;1.00;0;0.00;Adventure;Drama;Musical
tt0805564;lars_and_the_real_girl;2007;7.4;0;1;1.25;0;0.00;Comedy;Drama;Romance
tt0056172;lawrence_of_arabia;1962;8.3;7;3;20.88;0;0.00;Adventure;Biography;Drama
tt0498380;letters_from_iwo_jima;2006;7.9;1;3;5.25;0;0.00;Drama;History;War
tt1872818;liberal_arts;2012;6.7;0;0;0.00;0;0.00;Comedy;Drama;Romance
tt0079470;life_of_brian;1979;8.1;0;0;0.00;0;0.00;Comedy
tt0986264;like_stars_on_earth;2007;8.5;0;0;0.00;0;0.00;Drama;Family;Music
tt1219289;limitless;2011;7.4;0;0;0.00;0;0.00;Mystery;Sci-Fi;Thriller
tt0443272;lincoln;2012;7.4;2;10;12.38;1;1.00;Biography;Drama;History
tt0449059;little_miss_sunshine;2006;7.8;2;2;9.38;1;3.00;Comedy;Drama
tt0120735;lock_stock_and_two_smoking_barrels;1998;8.2;0;0;0.00;0;0.00;Comedy;Crime
tt0074812;logan_s_run;1976;6.8;0;2;0.88;0;0.00;Action;Sci-Fi
tt0056193;lolita;1962;7.6;0;1;1.25;0;0.00;Crime;Drama;Romance
tt1276104;looper;2012;7.4;0;0;0.00;0;0.00;Action;Crime;Drama
tt0314331;love_actually;2003;7.7;0;0;0.00;0;0.00;Comedy;Drama;Romance
tt0022100;m;1931;8.4;0;0;0.00;0;0.00;Crime;Drama;Mystery
tt2884018;macbeth;2015;6.7;0;0;0.00;0;0.00;Drama;War
tt2002718;machete_kills;2013;5.6;0;0;0.00;0;0.00;Action;Crime;Sci-Fi
tt1392190;mad_max_fury_road;2015;8.1;6;4;11.75;0;0.00;Action;Adventure;Sci-Fi
tt0770828;man_of_steel;2013;7.1;0;0;0.00;0;0.00;Action;Adventure;Fantasy
tt0328107;man_on_fire;2004;7.7;0;0;0.00;0;0.00;Action;Crime;Drama
tt0125664;man_on_the_moon;1999;7.4;0;0;0.00;0;0.00;Biography;Comedy;Drama
tt4034228;manchester_by_the_sea;2016;8.5;0;0;0.00;0;0.00;Drama
tt1305591;mars_needs_moms;2011;5.4;0;0;0.00;0;0.00;Animation;Adventure;Family
tt0978762;mary_and_max;2009;8.2;0;0;0.00;0;0.00;Animation;Comedy;Drama
tt0058331;mary_poppins;1964;7.8;5;8;15.62;0;0.00;Comedy;Family;Fantasy
tt2582496;me_and_earl_and_the_dying_girl;2015;7.8;0;0;0.00;0;0.00;Comedy;Drama
tt2674426;me_before_you;2016;7.5;0;0;0.00;0;0.00;Drama;Romance
tt0397535;memoirs_of_a_geisha;2005;7.3;3;3;6.25;0;0.00;Drama;Romance
tt0353969;memories_of_murder;2003;8.1;0;0;0.00;0;0.00;Crime;Drama;Mystery
tt0017136;metropolis;1927;8.3;0;0;0.00;0;0.00;Drama;Sci-Fi
tt1605783;midnight_in_paris;2011;7.7;1;3;7.12;0;0.00;Comedy;Fantasy;Romance
tt2649554;midnight_special;2016;6.7;0;0;0.00;0;0.00;Adventure;Drama;Mystery
tt0366777;millions;2004;7.0;0;0;0.00;0;0.00;Comedy;Crime;Drama
tt2293640;minions;2015;6.4;0;0;0.00;0;0.00;Animation;Action;Adventure
tt1210166;moneyball;2011;7.6;0;6;5.38;0;0.00;Biography;Drama;Sport
tt1182345;moon;2009;7.9;0;0;0.00;0;0.00;Drama;Mystery;Sci-Fi
tt4975722;moonlight;2016;8.5;0;0;0.00;0;0.00;Drama
tt1748122;moonrise_kingdom;2012;7.8;0;1;1.25;0;0.00;Adventure;Comedy;Drama
tt0027996;mr_deeds_goes_to_town;1936;8.0;1;4;8.00;0;0.00;Comedy;Drama;Romance
tt0031679;mr_smith_goes_to_washington;1939;8.2;1;10;12.25;0;0.00;Comedy;Drama
tt0096283;my_neighbor_totoro;1988;8.2;0;0;0.00;0;0.00;Animation;Family;Fantasy
tt1078588;my_sister_s_keeper;2009;7.4;0;0;0.00;0;0.00;Drama
tt0327056;mystic_river;2003;8.0;2;4;10.62;0;0.00;Crime;Drama;Mystery
tt0087544;nausicaä_of_the_valley_of_the_wind;1984;8.1;0;0;0.00;0;0.00;Animation;Adventure;Fantasy
tt1821549;nebraska;2013;7.7;0;6;5.62;0;0.00;Adventure;Comedy;Drama
tt0074958;network;1976;8.1;4;6;20.88;1;1.00;Drama
tt1334260;never_let_me_go;2010;7.2;0;0;0.00;0;0.00;Drama;Romance;Sci-Fi
tt0408664;nobody_knows;2004;8.1;0;0;0.00;0;0.00;Drama
tt4550098;nocturnal_animals;2016;7.7;0;0;0.00;0;0.00;Drama;Thriller
tt0053125;north_by_northwest;1959;8.4;0;3;1.00;0;0.00;Action;Adventure;Crime
tt0013442;nosferatu;1922;8.0;0;0;0.00;0;0.00;Fantasy;Horror
tt0038787;notorious;1946;8.0;0;2;1.88;0;0.00;Drama;Film-Noir;Romance
tt1483013;oblivion;2013;7.0;0;0;0.00;0;0.00;Action;Adventure;Mystery
tt0364569;oldboy;2003;8.4;0;0;0.00;0;0.00;Drama;Mystery;Thriller
tt0047296;on_the_waterfront;1954;8.2;8;4;25.62;0;0.00;Crime;Drama;Thriller
tt0087843;once_upon_a_time_in_america;1984;8.4;0;0;0.00;0;0.00;Crime;Drama
tt0064116;once_upon_a_time_in_the_west;1968;8.6;0;0;0.00;0;0.00;Western
tt1563738;one_day;2011;7.0;0;0;0.00;0;0.00;Drama;Romance
tt0081283;ordinary_people;1980;7.8;4;2;18.12;0;0.00;Drama
tt0089755;out_of_africa;1985;7.2;7;4;23.00;1;2.00;Biography;Drama;Romance
tt1206543;out_of_the_furnace;2013;6.8;0;0;0.00;0;0.00;Crime;Drama;Thriller
tt0457430;pan_s_labyrinth;2006;8.2;3;3;7.50;1;1.00;Drama;Fantasy;War
tt3622592;paper_towns;2015;6.4;0;0;0.00;0;0.00;Drama;Mystery;Romance
tt0070511;papillon;1973;8.0;0;1;0.12;0;0.00;Biography;Crime;Drama
tt0087884;paris_texas;1984;8.1;0;0;0.00;1;8.00;Drama
tt0050825;paths_of_glory;1957;8.5;0;0;0.00;0;0.00;Drama;War
tt0066206;patton;1970;8.0;7;3;20.50;0;0.00;Biography;Drama;War
tt1911658;penguins_of_madagascar;2014;6.7;0;0;0.00;0;0.00;Animation;Adventure;Comedy
tt0808417;persepolis;2007;8.1;0;1;1.00;0;0.00;Animation;Biography;Drama
tt0060827;persona;1966;8.1;0;0;0.00;0;0.00;Drama;Thriller
tt0138704;pi;1998;7.5;0;0;0.00;0;0.00;Drama;Horror;Mystery
tt0073540;picnic_at_hanging_rock;1975;7.6;0;0;0.00;0;0.00;Drama;Mystery
tt0449088;pirates_of_the_caribbean_at_world_s_end;2007;7.1;0;2;0.62;0;0.00;Action;Adventure;Fantasy
tt0383574;pirates_of_the_caribbean_dead_man_s_chest;2006;7.3;1;3;3.12;0;0.00;Action;Adventure;Fantasy
tt0091763;platoon;1986;8.1;4;4;17.25;0;0.00;Drama;War
